EEID,satisfaction_level,satisfaction_level_bucket,last_evaluation,last_evaluation_bucket,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Burnout risk
EMP-0000,3,Medium,3,Medium,2,157,3,0,1,0,sales,low,Stable
EMP-0001,4,High,4,High,5,262,6,0,1,0,sales,medium,Stable
EMP-0002,1,Low,5,High,7,272,4,0,1,0,sales,medium,Burnout Risk
EMP-0003,4,High,4,High,5,223,5,0,1,0,sales,low,Stable
EMP-0004,2,Low,3,Medium,2,159,3,0,1,0,sales,low,Stable
EMP-0005,3,Medium,3,Medium,2,153,3,0,1,0,sales,low,Stable
EMP-0006,1,Low,4,High,6,247,4,0,1,0,sales,low,Burnout Risk
EMP-0007,5,High,4,High,5,259,5,0,1,0,sales,low,Stable
EMP-0008,5,High,5,High,5,224,5,0,1,0,sales,low,Stable
EMP-0009,3,Medium,3,Medium,2,142,3,0,1,0,sales,low,Stable
EMP-0010,3,Medium,3,Medium,2,135,3,0,1,0,sales,low,Stable
EMP-0011,1,Low,4,High,6,305,4,0,1,0,sales,low,Burnout Risk
EMP-0012,4,High,5,High,4,234,5,0,1,0,sales,low,Stable
EMP-0013,3,Medium,3,Medium,2,148,3,0,1,0,sales,low,Stable
EMP-0014,2,Low,3,Medium,2,137,3,0,1,0,sales,low,Stable
EMP-0015,3,Medium,3,Medium,2,143,3,0,1,0,sales,low,Stable
EMP-0016,3,Medium,3,Medium,2,160,3,0,1,0,sales,low,Stable
EMP-0017,4,High,5,High,4,255,6,0,1,0,sales,low,Stable
EMP-0018,3,Medium,3,Medium,2,160,3,1,1,1,sales,low,Stable
EMP-0019,4,High,5,High,5,262,5,0,1,0,sales,low,Stable
EMP-0020,1,Low,4,High,6,282,4,0,1,0,sales,low,Burnout Risk
EMP-0021,3,Medium,3,Medium,2,147,3,0,1,0,sales,low,Stable
EMP-0022,1,Low,5,High,6,304,4,0,1,0,sales,low,Burnout Risk
EMP-0023,3,Medium,3,Medium,2,139,3,0,1,0,sales,low,Stable
EMP-0024,3,Medium,3,Medium,2,158,3,0,1,0,sales,low,Stable
EMP-0025,5,High,5,High,5,242,5,0,1,0,sales,low,Stable
EMP-0026,4,High,4,High,4,239,5,0,1,0,sales,low,Stable
EMP-0027,3,Medium,3,Medium,2,135,3,0,1,0,sales,low,Stable
EMP-0028,3,Medium,3,Medium,2,128,3,0,1,0,accounting,low,Stable
EMP-0029,3,Medium,3,Medium,2,132,3,0,1,0,accounting,low,Stable
EMP-0030,1,Low,3,Medium,6,294,4,0,1,0,accounting,low,Burnout Risk
EMP-0031,3,Medium,3,Medium,2,134,3,0,1,0,hr,low,Stable
EMP-0032,3,Medium,3,Medium,2,145,3,0,1,0,hr,low,Stable
EMP-0033,3,Medium,3,Medium,2,140,3,0,1,0,hr,low,Stable
EMP-0034,4,High,4,High,4,246,6,0,1,0,hr,low,Stable
EMP-0035,1,Low,5,High,6,255,4,0,1,0,technical,low,Burnout Risk
EMP-0036,3,Medium,3,Medium,2,137,3,0,1,0,technical,low,Stable
EMP-0037,3,Medium,3,Medium,2,126,3,0,1,0,technical,low,Stable
EMP-0038,1,Low,5,High,6,306,4,0,1,0,technical,low,Burnout Risk
EMP-0039,3,Medium,3,Medium,2,152,3,0,1,0,technical,low,Stable
EMP-0040,4,High,5,High,5,269,5,0,1,0,technical,low,Stable
EMP-0041,3,Medium,3,Medium,2,158,3,0,1,0,technical,low,Stable
EMP-0042,3,Medium,3,Medium,2,127,3,0,1,0,technical,low,Stable
EMP-0043,1,Low,4,High,7,281,4,0,1,0,technical,low,Burnout Risk
EMP-0044,1,Low,5,High,6,276,4,0,1,0,technical,low,Burnout Risk
EMP-0045,4,High,4,High,3,182,4,0,1,0,technical,low,Stable
EMP-0046,3,Medium,3,Medium,2,147,3,0,1,0,support,low,Stable
EMP-0047,3,Medium,4,High,3,273,6,0,1,0,support,low,Stable
EMP-0048,3,Medium,3,Medium,2,148,3,0,1,0,support,low,Stable
EMP-0049,3,Medium,3,Medium,2,147,3,0,1,0,support,low,Stable
EMP-0050,2,Low,4,High,6,152,2,0,1,0,support,low,Stable
EMP-0051,3,Medium,3,Medium,2,135,3,0,1,0,support,low,Stable
EMP-0052,3,Medium,3,Medium,2,134,3,0,1,0,support,low,Stable
EMP-0053,3,Medium,3,Medium,2,132,3,0,1,0,support,low,Stable
EMP-0054,1,Low,5,High,7,307,4,0,1,0,support,low,Burnout Risk
EMP-0055,2,Low,3,Medium,2,140,3,0,1,0,support,low,Stable
EMP-0056,1,Low,5,High,7,255,4,0,1,0,support,low,Burnout Risk
EMP-0057,1,Low,4,High,6,309,4,0,1,0,technical,low,Burnout Risk
EMP-0058,3,Medium,3,Medium,2,128,3,0,1,0,technical,low,Stable
EMP-0059,4,High,5,High,4,225,5,0,1,0,technical,low,Stable
EMP-0060,4,High,5,High,5,226,5,0,1,0,management,medium,Stable
EMP-0061,1,Low,5,High,7,308,4,0,1,0,IT,medium,Burnout Risk
EMP-0062,1,Low,5,High,6,244,5,0,1,0,IT,medium,Burnout Risk
EMP-0063,2,Low,3,Medium,2,132,3,0,1,0,IT,medium,Stable
EMP-0064,1,Low,5,High,6,286,4,0,1,0,IT,medium,Burnout Risk
EMP-0065,4,High,4,High,6,161,4,0,1,0,IT,medium,Stable
EMP-0066,3,Medium,3,Medium,2,153,3,0,1,0,product_mng,medium,Stable
EMP-0067,5,High,5,High,4,264,6,0,1,0,product_mng,medium,Stable
EMP-0068,4,High,4,High,5,223,5,1,1,0,product_mng,medium,Stable
EMP-0069,3,Medium,3,Medium,2,135,3,0,1,0,product_mng,medium,Stable
EMP-0070,4,High,5,High,2,277,3,0,1,0,IT,medium,Stable
EMP-0071,1,Low,4,High,5,275,4,0,1,0,product_mng,medium,Burnout Risk
EMP-0072,3,Medium,3,Medium,2,149,3,0,1,0,product_mng,high,Stable
EMP-0073,1,Low,4,High,7,295,4,0,1,0,product_mng,low,Burnout Risk
EMP-0074,1,Low,5,High,6,277,4,0,1,0,product_mng,medium,Burnout Risk
EMP-0075,1,Low,4,High,7,306,4,0,1,0,product_mng,medium,Burnout Risk
EMP-0076,1,Low,4,High,6,295,4,0,1,0,product_mng,medium,Burnout Risk
EMP-0077,3,Medium,3,Medium,2,137,3,0,1,0,marketing,medium,Stable
EMP-0078,3,Medium,3,Medium,2,157,3,0,1,0,sales,low,Stable
EMP-0079,3,Medium,3,Medium,2,142,3,0,1,0,accounting,low,Stable
EMP-0080,3,Medium,3,Medium,2,140,3,0,1,0,support,low,Stable
EMP-0081,3,Medium,3,Medium,2,151,3,0,1,0,technical,low,Stable
EMP-0082,4,High,3,Medium,4,139,3,0,1,1,management,low,Stable
EMP-0083,4,High,4,High,4,249,6,0,1,0,marketing,low,Stable
EMP-0084,1,Low,4,High,6,291,4,0,1,0,marketing,low,Burnout Risk
EMP-0085,1,Low,4,High,6,305,4,0,1,0,marketing,low,Burnout Risk
EMP-0086,2,Low,4,High,5,232,3,0,1,0,sales,low,Burnout Risk
EMP-0087,3,Medium,3,Medium,2,132,3,0,1,0,sales,low,Stable
EMP-0088,2,Low,3,Medium,2,130,3,0,1,0,sales,low,Stable
EMP-0089,1,Low,4,High,6,291,4,0,1,0,sales,low,Burnout Risk
EMP-0090,3,Medium,3,Medium,2,130,3,0,1,0,sales,low,Stable
EMP-0091,5,High,5,High,5,246,5,0,1,0,sales,low,Stable
